186.25,842.5
148.75,842.5
213.75,772.5
128.75,810
101.25,781.25
106.25,745
120,713.75
100,685
157.5,710
115,650
126.25,616.25
136.25,573.75
116.25,542.5
137.5,507.5
150,476.25
192.5,466.25
210,495
175,498.75
156.25,536.25
190,533.75
232.5,528.75
255,566.25
215,566.25
175,571.25
237.5,600
197.5,602.5
187.5,635
170,670
185,741.25
143.75,742.5
137.5,770
177.5,775
163.75,808.75
203.75,807.5
242.5,803.75
273.75,790
138.75,676.25
150,643.75
158.75,606.25
306.25,626.25
326.25,658.75
363.75,653.75
385,616.25
320,591.25
400,586.25
396.25,578.75
360,587.5
377.5,550
437.5,588.75
412.5,555
422.5,555
453.75,552.5
395,523.75
431.25,520
462.5,517.5
487.5,547.5
476.25,581.25
516.25,572.5
526.25,540
572.5,547.5
582.5,511.25
541.25,506.25
500,512.5
596.25,478.75
626.25,506.25
631.25,472.5
637.5,438.75
611.25,406.25
600,446.25
412.5,488.75
380,457.5
346.25,423.75
622.5,367.5
597.5,340
557.5,350
517.5,351.25
491.25,352.5
450,352.5
415,351.25
376.25,351.25
340,357.5
306.25,356.25
273.75,361.25
251.25,325
223.75,288.75
196.25,258.75
175,227.5
195,192.5
173.75,160
135,166.25
117.5,208.75
97.5,246.25
121.25,281.25
107.5,310
130,338.75
237.5,366.25
213.75,328.75
248.75,398.75
272.5,430
288.75,392.5
311.25,423.75
323.75,392.5
361.25,392.5
170,337.5
185,298.75
145,303.75
160,266.25
136.25,245
155,198.75
581.25,378.75
386.25,426.25
401.25,392.5
420,455
443.75,488.75
476.25,486.25
516.25,486.25
526.25,462.5
557.5,462.5
562.5,472.5
568.75,421.25
541.25,388.75
511.25,390
473.75,387.5
437.5,390
426.25,423.75
455,453.75
488.75,455
533.75,425
500,425
463.75,422.5
